#ID,2dD,2dQ,2dW,4dD,4dQ,4dW,geneLength
GB43971,188,140,196,94,74,84,4922
GB43972,24,44,32,22,84,24,2312
GB43976,2,2,2,2,2,2,368
GB43977,924,1128,1094,866,1082,812,6007
GB43980,2166,1584,1630,1730,1818,1530,2975
GB43982,0,0,2,2,0,2,1220
GB43983,1260,742,502,1710,56,92,4899
GB43984,170,198,172,186,166,152,4012
GB43985,0,0,0,0,0,0,96
GB43986,0,0,0,0,0,0,183
GB43987,16,8,10,56,4,4,1962
GB43988,8,8,12,4,10,12,1025
GB43989,5906,5676,5560,4724,4262,5722,1981
GB43991,148,72,94,100,84,74,3577
GB43992,0,0,0,0,0,0,1797
GB43993,0,0,0,0,0,0,453
GB43994,0,0,0,0,0,0,564
GB43995,0,0,0,0,0,0,4830
GB43996,0,0,0,0,0,0,420
GB43997,0,0,0,0,0,0,510
GB43998,2,2,2,2,2,2,354
GB43999,2802,3014,3016,2616,2750,2480,4360
GB44001,6,6,6,8,2,4,2571
GB44002,54,36,50,38,42,24,5067
GB44003,274,320,310,296,234,260,1259
GB44005,570,524,586,570,472,536,1074
GB44006,492,522,498,534,704,896,3159
GB44009,402,484,430,496,734,630,3440
GB44010,186,202,162,182,198,154,2554
GB44011,1146,954,848,940,820,952,5458
GB44012,120,158,160,170,182,184,1727
GB44013,2,2,2,2,10,4,1201
GB44014,10,2,4,4,4,4,1506
GB44015,0,0,0,0,0,2,267
GB44016,1658,1950,1794,1698,2008,1982,3406
GB44017,2482,1840,1888,3254,5606,4224,8835
GB44021,5534,4154,3826,5494,6658,5190,4506
GB44022,0,0,2,0,2,0,429
GB44024,4,2,4,2,2,8,830
GB44026,2,2,2,2,2,2,447
GB44027,104,154,132,126,118,156,1288
GB44028,500,686,666,606,648,598,2873
GB44029,370,264,296,380,404,548,5099
GB44031,382,374,344,466,514,446,2856
GB44032,11954,12420,14880,10478,9690,10298,5470
GB44033,3644,4018,3948,4406,6112,5762,557
GB44034,170,188,164,162,162,122,1101
GB44035,586,564,582,532,518,460,3401
GB44037,1156,1390,1030,1342,1680,1336,2308
GB44038,16,10,8,12,14,12,309
GB44039,2676,3072,2698,3610,5362,6588,1525
GB44040,22,34,46,30,20,38,2540
GB44041,102,56,86,36,70,74,5965
GB44043,792,1076,1074,628,3756,850,1258
GB44044,292,316,354,396,364,800,3987
GB44046,6,6,6,8,10,12,1606
GB44048,1366,1300,1444,1620,1830,2066,3606
GB44049,594,810,744,648,626,638,5263
GB44053,394,594,540,396,466,404,1854
GB44054,34,44,48,34,32,32,700
GB44055,410,414,382,442,506,344,3003
GB44056,7186,8522,7102,6890,7602,5778,3796
